work_year,experience_level,job_title,salary_in_usd
3.0,3,84,85847
3.0,2,66,30000
3.0,2,66,25500
3.0,3,47,175000
3.0,3,47,120000
3.0,3,8,222200
3.0,3,8,136000
3.0,3,47,219000
3.0,3,47,141000
3.0,3,47,147100
3.0,3,47,90700
3.0,3,25,130000
3.0,3,25,100000
3.0,0,8,213660
3.0,0,8,130760
3.0,3,38,147100
3.0,3,38,90700
3.0,3,47,170000
3.0,3,47,150000
3.0,2,25,150000
3.0,2,25,110000
3.0,3,88,275000
3.0,3,88,174000
3.0,3,4,230000
3.0,3,4,143200
3.0,3,18,225000
3.0,3,18,156400
3.0,3,69,200000
3.0,3,69,130000
3.0,3,50,90000
3.0,3,50,72000
3.0,3,33,253200
3.0,3,33,90700
3.0,3,23,342810
3.0,3,23,184590
3.0,2,33,162500
3.0,2,33,130000
3.0,2,25,105380
3.0,2,25,64500
3.0,0,41,100000
3.0,0,22,30000
2.0,2,69,20984
3.0,0,8,204620
3.0,0,8,110680
3.0,3,33,270703
3.0,3,33,221484
3.0,3,47,212750
3.0,3,47,185000
3.0,3,47,262000
3.0,3,47,245000
3.0,3,47,275300
3.0,3,47,183500
3.0,3,47,218500
3.0,3,47,199098
3.0,3,33,203300
3.0,3,33,123600
3.0,3,88,189110
3.0,3,88,139000
3.0,1,47,258750
3.0,1,47,185000
3.0,3,33,231500
3.0,3,33,166000
3.0,3,47,172500
3.0,3,47,110500
3.0,3,33,238000
3.0,3,33,176000
3.0,3,33,237000
3.0,3,33,201450
3.0,3,8,309400
3.0,3,8,159100
3.0,3,33,115000
3.0,3,33,81500
3.0,3,47,237000
3.0,3,47,201450
3.0,3,23,280000
3.0,3,23,210000
3.0,3,31,280100
3.0,3,31,168100
3.0,3,33,193500
3.0,3,33,139000
3.0,2,47,65062
3.0,3,69,150000
3.0,2,6,69751
2.0,0,1,300000
3.0,2,69,96578
3.0,3,18,185900
3.0,3,18,129300
3.0,3,33,225000
3.0,3,33,175000
3.0,3,33,185000
3.0,3,33,140000
3.0,3,47,48289
3.0,3,47,38631
3.0,3,47,105000
3.0,3,47,70000
3.0,0,69,163196
3.0,0,69,145885
3.0,3,33,217000
3.0,3,33,185000
3.0,3,25,202800
3.0,3,25,104300
3.0,3,25,145000
3.0,3,25,65000
3.0,3,33,165000
3.0,3,33,132300
3.0,3,33,179170
3.0,3,33,94300
3.0,3,4,152500
3.0,3,4,116450
3.0,3,33,247300
3.0,3,33,133800
3.0,3,88,203000
3.0,3,88,133000
3.0,0,89,220000
2.0,0,69,56536
3.0,3,47,150000
3.0,3,47,120000
3.0,3,4,289800
3.0,3,4,214000
3.0,3,4,179820
3.0,3,4,143860
3.0,3,69,283200
3.0,3,69,188800
3.0,3,4,289800
3.0,3,4,214200
3.0,3,33,185900
3.0,3,33,129300
3.0,3,33,252000
3.0,3,33,129000
3.0,2,29,155000
3.0,2,29,140000
3.0,3,33,161800
3.0,3,33,141600
3.0,3,69,342300
3.0,3,69,176100
3.0,2,33,100000
3.0,2,33,70000
3.0,0,33,85000
3.0,0,33,65000
3.0,3,47,138784
3.0,3,47,83270
3.0,0,25,75000
3.0,0,25,70000
3.0,3,25,204500
3.0,3,25,138900
3.0,3,69,318300
3.0,3,69,212200
3.0,3,33,95000
3.0,3,33,75000
3.0,3,47,195000
3.0,3,47,160000
3.0,3,4,230000
3.0,3,4,143200
3.0,2,33,100000
3.0,2,33,70000
3.0,2,17,105000
3.0,2,5,20670
3.0,2,25,46178
3.0,2,25,42533
3.0,3,33,145000
3.0,3,33,115000
3.0,3,25,168400
3.0,3,25,105200
3.0,3,8,309400
3.0,3,8,159100
3.0,3,69,190000
3.0,3,69,150000
3.0,2,33,162500
3.0,2,33,130000
3.0,3,4,150000
3.0,3,4,120000
3.0,3,33,145000
3.0,3,33,120000
3.0,3,8,222200
3.0,3,8,136000
3.0,3,25,54685
3.0,3,25,42533
3.0,3,33,241000
3.0,3,33,155000
3.0,3,33,220000
3.0,3,33,190000
3.0,2,47,66837
3.0,2,47,54685
0.0,1,91,15000
3.0,2,55,85066
3.0,2,55,57723
3.0,0,25,85000
3.0,0,25,75000
3.0,3,33,160000
3.0,3,33,140000
3.0,2,69,300000
3.0,2,69,250000
3.0,3,47,228000
3.0,3,47,186000
3.0,3,47,190000
3.0,3,47,170000
3.0,2,88,230000
3.0,2,88,200000
3.0,3,31,180000
3.0,3,31,115000
3.0,3,31,200000
3.0,3,31,115000
3.0,3,32,53654
3.0,1,33,220000
3.0,1,33,205000
3.0,2,33,180000
3.0,2,33,130000
3.0,3,33,200000
3.0,3,33,150000
3.0,3,23,215000
3.0,3,23,170000
3.0,3,69,247500
3.0,3,69,172200
3.0,3,47,224000
3.0,3,47,176000
3.0,3,25,120000
3.0,3,25,75000
3.0,0,33,17022
3.0,3,5,68318
3.0,2,1,75020
3.0,3,25,140000
3.0,3,25,120000
3.0,3,33,128000
3.0,3,33,81500
3.0,3,33,145000
3.0,3,33,115000
3.0,3,33,185000
3.0,3,33,140000
3.0,1,58,329500
3.0,1,58,269600
3.0,3,41,100000
3.0,3,41,80000
3.0,3,47,250000
3.0,3,47,162500
3.0,2,1,200000
3.0,3,33,145000
3.0,3,33,100000
3.0,1,33,145000
3.0,1,33,115000
3.0,3,47,203500
3.0,3,47,152000
3.0,3,47,239000
3.0,3,47,122900
3.0,3,47,237000
3.0,3,47,145000
3.0,3,45,191765
3.0,3,45,134236
3.0,3,4,190000
3.0,3,4,112000
2.0,3,47,88256
3.0,0,33,85000
3.0,0,33,65000
3.0,3,25,135000
3.0,3,25,105500
3.0,3,88,293000
3.0,3,88,185000
3.0,3,25,80000
3.0,3,25,70000
3.0,3,33,220000
3.0,3,33,160000
3.0,3,47,175000
3.0,3,47,145000
3.0,3,25,200000
3.0,3,25,148500
3.0,3,47,48289
3.0,3,47,38631
3.0,3,33,240500
3.0,3,33,123700
3.0,3,4,152900
3.0,3,4,117100
3.0,3,4,173000
3.0,3,4,113000
3.0,3,8,260000
3.0,3,8,136000
3.0,1,33,175000
3.0,1,33,110000
3.0,3,8,260000
3.0,3,8,136000
3.0,3,89,130000
3.0,3,89,110000
3.0,3,8,205000
3.0,3,8,184000
3.0,3,25,149500
3.0,3,25,127075
3.0,3,47,195000
3.0,3,47,160000
3.0,3,33,219535
3.0,3,33,146115
3.0,3,47,170000
3.0,3,47,135000
3.0,3,47,175000
3.0,3,47,145000
3.0,3,47,199000
3.0,3,47,162000
3.0,3,8,222200
3.0,3,8,136000
3.0,1,4,221000
3.0,1,4,153000
3.0,3,25,187000
3.0,3,25,128000
3.0,3,89,210000
3.0,3,89,136000
3.0,3,47,175000
3.0,3,47,100000
3.0,3,33,179000
3.0,3,33,109000
3.0,3,47,245000
3.0,3,47,180000
3.0,3,25,142000
3.0,3,25,75000
3.0,3,37,198800
3.0,3,37,105200
3.0,3,25,125000
3.0,3,25,112000
3.0,3,47,210000
3.0,3,47,155000
3.0,3,37,115000
3.0,3,37,86000
3.0,3,47,165000
3.0,3,47,140000
3.0,3,25,139000
3.0,3,25,106000
3.0,0,25,40663
2.0,3,1,275000
3.0,3,73,50000
3.0,2,69,280700
3.0,2,69,150450
3.0,0,47,51753
3.0,3,31,250500
3.0,3,31,159500
3.0,3,33,145000
3.0,3,33,115000
3.0,3,25,140000
3.0,3,25,120000
3.0,0,47,130001
3.0,0,47,71907
3.0,2,47,93918
3.0,2,47,51962
3.0,3,25,175000
3.0,3,25,135000
3.0,0,33,85000
3.0,0,33,65000
3.0,3,69,257000
3.0,3,69,147000
3.0,3,33,222000
3.0,3,33,175000
3.0,3,47,203000
3.0,3,47,133200
3.0,0,8,213660
3.0,0,8,130760
3.0,3,33,221000
3.0,3,33,147000
3.0,3,41,100000
3.0,3,41,80000
3.0,3,47,185900
